Supplier,internal_company_code,Risk Type,topline_risk_score,transparency_score,frdm_score,all_country_risk_score,all_industry_risk_score,purchase_risk,all_alerts_count,trade_partner_risk,Spend Amount,Spend Level,supplier_id,id,parent_id,created_at,created_at,Countries,Industries,Products,Product Regulations,Industry Regulations,Documents,Warnings
"Fluid Line Products, Inc.",74530494,human_rights,0.82,0.15200000000000002,11,0.17059,0.63311,,0,0.615,,,634711,52,0,2023-07-13 09:51:15 UTC,2023-07-13 09:51:15 UTC,USA,Fluid Power Valve and Hose Fitting Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
Jamaica Bearings Co. Inc.,7741,human_rights,0.82,0.17600000000000002,12,0.17059,0.66912,,0,0.3675,,,665335,52,0,2024-09-09 18:25:34 UTC,2024-09-09 18:25:34 UTC,USA,Ball and Roller Bearing Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
BHKS AUTOMOBILE PARTS CO LTD,78,human_rights,0.82,0.044000000000000004,1,0.65231,,,0,,,,634730,52,0,2023-07-13 09:51:19 UTC,2023-07-13 09:51:19 UTC,CHN,,,,,,
Parker Hannifin - HVS HVD,8029,human_rights,0.82,0.15600000000000003,6,0.17059,0.63311,,0,0.74,,,665347,52,0,2024-09-09 18:25:47 UTC,2024-09-09 18:25:47 UTC,USA,Fluid Power Valve and Hose Fitting Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
Parker Hannifin - HVS HCS,8030,human_rights,0.82,0.15200000000000002,6,0.17059,0.63311,,0,0.74,,,665348,52,0,2024-09-09 18:25:48 UTC,2024-09-09 18:25:48 UTC,USA,Fluid Power Valve and Hose Fitting Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
"Malone Specialty, Inc.",80458110,human_rights,0.82,0.16400000000000003,12,0.17059,0.65784,,0,0.554,,,634853,52,0,2023-07-13 09:51:43 UTC,2023-07-13 09:51:43 UTC,USA,Iron Foundries,,,CSDDD| Energy Star,,
"Cherokee Millwright, Inc.",807371786,human_rights,0.82,0.1,4,0.17059,,,0,0.3033333333333333,,,634870,52,0,2023-07-13 09:51:46 UTC,2023-07-13 09:51:46 UTC,USA,,,,,,
"ROUSH INDUSTRIES, INC.",808935089,human_rights,0.82,0.324,63,0.17059,0.83177,0.5818258466135469,0,0.40625,202253.0,,151692,52,0,2021-04-27 15:20:28 UTC,2021-04-27 16:06:26 UTC,USA,All Other Miscellaneous Manufacturing| Automotive Exhaust System Repair| Engineering Services| Institutional Furniture Manufacturing,Industrial Production and Manufacturing Services,,Data Breach High Incident| Data Breach Vulnerability| Deforestation| UK MSA| Water Pollution Supply Chain,,
Deflecto,836408310,human_rights,0.82,0.09600000000000002,2,0.17059,,,0,0.44300000000000006,,,634968,52,0,2023-07-13 09:52:04 UTC,2023-07-13 09:52:04 UTC,USA,,,,,,
"Isspro, Inc.",9023292,human_rights,0.82,0.09200000000000001,2,0.17059,,,0,0.43600000000000005,,,635044,52,0,2023-07-13 09:52:19 UTC,2023-07-13 09:52:19 UTC,USA,,,,,,
"Pg Trionic, Inc.",949134225,human_rights,0.82,0.1,0,0.17059,,,0,0.6033333333333334,,,635096,52,0,2023-07-13 09:52:29 UTC,2023-07-13 09:52:29 UTC,USA,,,,,,
Helac Corporation,964295067,human_rights,0.82,0.14,12,0.17059,0.62928,,0,0.42000000000000004,,,635109,52,0,2023-07-13 09:52:31 UTC,2023-07-13 09:52:31 UTC,USA,Fluid Power Cylinder and Actuator Manufacturing,,,Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
"Link Group, Inc.",967580957,human_rights,0.82,0.1,0,0.17059,,,0,0.4726470588235294,,,635125,52,0,2023-07-13 09:52:34 UTC,2023-07-13 09:52:34 UTC,USA,,,,,,Forced Labor Risk (Subtier Trade History with Entity from Sheffield Hallam University Forced Labor Reports)
Soucy International,9696,human_rights,0.82,0.02,4,0.0964,,,0,0.20833333333333334,,,665161,52,0,2024-09-09 18:22:14 UTC,2024-09-09 18:22:14 UTC,CAN,,,,,,
"JiaXing Master Plumbing Co.,Ltd.",9950,human_rights,0.82,0.04800000000000001,1,0.65231,,,0,,,,665175,52,0,2024-09-09 18:22:32 UTC,2024-09-09 18:22:32 UTC,CHN,,,,,,
PAIGE TRADING(SHANGHAI) CO LTD,,human_rights,0.82,0.2,31,0.65231,1.0,,0,,130854.0,,444283,52,0,2022-01-27 23:24:07 UTC,2022-01-27 23:41:54 UTC,CHN,Electrical Equipment Manufacturing,,,CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
FORTIVE SETRA-ICG,,human_rights,0.82,0.2,31,0.65231,1.0,,0,,168986.0,,444281,52,0,2022-01-27 23:24:07 UTC,2022-01-27 23:41:54 UTC,CHN,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",,,CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| WEEE,,
Michigan Technological University,,human_rights,0.82,0.09200000000000001,1,0.17059,,,0,0.5820000000000001,,,16676,52,0,2020-02-29 15:19:52 UTC,2023-07-13 09:49:23 UTC,USA,,,,,,
Msc Industrial Supply,,human_rights,0.82,0.09600000000000002,3,0.17059,,,0,0.45891304347826073,,,17063,52,0,2020-02-29 15:31:06 UTC,2023-07-13 09:51:18 UTC,USA,,,,,,
Tandemloc,,human_rights,0.82,0.14800000000000002,32,0.17059,0.63983,,0,0.36666666666666664,,,271282,52,0,2021-08-19 21:58:12 UTC,2023-01-04 20:07:20 UTC,USA,Industrial Machinery Manufacturing,,,Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
Feesco Tianjin Teda（天津市外国企业专家服务有限公司开发区分公司）,,human_rights,0.82,0.04,1,0.65231,,,0,,,,523759,52,0,2022-08-12 02:52:58 UTC,2022-08-12 02:52:58 UTC,CHN,,,,,,
Tianjin Zhong Xing Labor Outsourcing Company（天津中兴拓展人力资源服务有限公司）,,human_rights,0.82,0.04800000000000001,1,0.65231,,,0,,,,523763,52,0,2022-08-12 02:52:59 UTC,2022-08-12 02:52:59 UTC,CHN,,,,,,
Kinematics Llc,,human_rights,0.82,0.18400000000000002,30,0.17059,0.66912,,0,0.62,,,537890,52,0,2023-01-05 22:43:36 UTC,2023-01-05 22:43:36 UTC,USA,Ball and Roller Bearing Manufacturing| Other Fabricated Metal Product Manufacturing,,,CSDDD| Deforestation| Water Pollution Direct| Water Pollution Supply Chain,,Export Restrictions| Import Restrictions| Severe Tariff Measures| Tariff Escalation| Tariff Quota| Trade Barriers
Metalman Auto,,human_rights,0.82,0.18400000000000002,33,0.17059,0.68819,,0,0.38931034482758625,,,537983,52,0,2023-01-06 20:58:53 UTC,2023-01-06 20:58:53 UTC,USA,Other Fabricated Metal Product Manufacturing| Sheet Metal Work Manufacturing,,,CSDDD| Deforestation| Water Pollution Direct| Water Pollution Supply Chain,,
"Entech, Inc.",,human_rights,0.82,0.09600000000000002,4,0.17059,,,0,0.21986111111111103,,,633548,52,0,2023-07-13 09:47:26 UTC,2023-07-13 09:47:26 UTC,USA,,,,,,
"Best Line Leasing, Inc.",,human_rights,0.82,0.09600000000000002,1,0.17059,,,0,0.5333333333333333,,,633627,52,0,2023-07-13 09:47:42 UTC,2023-07-13 09:47:42 UTC,USA,,,,,,
Peck & Hale,,human_rights,0.82,0.16400000000000003,12,0.17059,0.64685,,0,0.4243636363636362,,,633736,52,0,2023-07-13 09:48:04 UTC,2023-07-13 09:48:04 UTC,USA,All Other Miscellaneous General Purpose Machinery Manufacturing,,,Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
Fireaway inc.,,human_rights,0.82,0.10400000000000001,1,0.17059,,,0,0.49,,,633889,52,0,2023-07-13 09:48:36 UTC,2023-07-13 09:48:36 UTC,USA,,,,,,
Eagle & Myslik,,human_rights,0.82,0.1,4,0.17059,,,0,0.23181818181818184,,,633961,52,0,2023-07-13 09:48:51 UTC,2023-07-13 09:48:51 UTC,USA,,,,,,
"Waupaca Foundry, Inc.",,human_rights,0.82,0.18,6,0.17059,0.65784,,0,0.5093333333333334,,,634100,52,0,2023-07-13 09:49:17 UTC,2023-07-13 09:49:17 UTC,USA,Iron Foundries,,,CSDDD| Energy Star,,Forced Labor Risk (Subtier Trading History with Xinjiang Entities)
"Engine Distributors, Inc.",,human_rights,0.82,0.09600000000000002,2,0.17059,,,0,0.4815384615384615,,,634359,52,0,2023-07-13 09:50:05 UTC,2023-07-13 09:50:05 UTC,USA,,,,,,
Lundell Manufacturing Corporation,,human_rights,0.82,0.172,14,0.17059,0.81606,,0,,,,635055,52,0,2023-07-13 09:52:21 UTC,2023-07-13 09:52:21 UTC,USA,"Gasket, Packing, and Sealing Device Manufacturing",,,PFAS| UK MSA,,BIS Critical Minerals| Export Restrictions| Import Restrictions| Military Application Commodity| Subsidy Distortion| Tariff Escalation| UFLPA Critical Minerals| US Department of Labor Product Watchlist
"Value Added Distributors, LLC",,human_rights,0.82,0.14,12,0.17059,0.63311,,0,0.5133333333333333,,,635062,52,0,2023-07-13 09:52:22 UTC,2023-07-13 09:52:22 UTC,USA,Fluid Power Valve and Hose Fitting Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
"Suzhou Inovance Technology Co., Ltd",,human_rights,0.82,0.18400000000000002,11,0.65231,1.0,,0,,,,650260,52,0,2024-01-30 17:58:42 UTC,2024-01-30 17:58:42 UTC,CHN,Electrical Equipment Manufacturing,,,CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
SEAT INDUSTRIES S.R.L.,0,human_rights,0.81,0.324,41,0.34914,0.9,0.22125545454545456,3,0.666,107946.0,,150585,52,0,2021-04-27 15:19:11 UTC,2021-04-27 16:04:29 UTC,ITA,Other Motor Vehicle Parts Manufacturing,Transportation components and systems,Conflict Mineral,CBAM| Conflict Mineral| EUBR| PFAS| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
J & H CONTROLS INC,0,human_rights,0.81,0.20800000000000002,36,0.65231,1.0,,0,,113516.0,,151884,52,0,2021-04-27 15:20:41 UTC,2021-04-27 16:06:46 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Human Resources Consulting Services",,,CBAM| Conflict Mineral| Data Breach High Incident| Data Breach Vulnerability| EUBR,,
"HI-LINE, INC.",0,human_rights,0.81,0.22,36,0.65231,1.0,,0,,115961.0,,151877,52,0,2021-04-27 15:20:41 UTC,2021-04-27 16:06:45 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Other Electronic Parts and Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
LB STEEL,0,human_rights,0.81,0.272,63,0.47488,0.6543,0.317426062223349,0,0.3775,140704.0,,151803,52,0,2021-04-27 15:20:36 UTC,2021-04-27 16:06:38 UTC,THA| USA,Fabricated Structural Metal Manufacturing,Structural building products,Deforestation,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
FULHAM & CO,0,human_rights,0.81,0.344,45,0.17059,1.0,0.8456597402597404,0,0.10970873786407767,231949.0,,150296,52,0,2021-04-27 15:18:50 UTC,2021-04-27 16:03:57 UTC,USA,Relay and Industrial Control Manufacturing,Electrical controls and accessories,Conflict Mineral,CBAM| Conflict Mineral| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
EDCI,0,human_rights,0.81,0.21600000000000003,36,0.65231,1.0,,0,,245820.0,,151634,52,0,2021-04-27 15:20:24 UTC,2021-04-27 16:06:20 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Other Electronic Parts and Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
RIHM KENWORTH,0,human_rights,0.81,0.26,46,0.65231,1.0,0.8642857142857144,0,,267759.0,,150798,52,0,2021-04-27 15:19:25 UTC,2021-04-27 16:04:52 UTC,CHN| MEX| MYS| USA,Industrial Machinery and Equipment Merchant Wholesalers| New Car Dealers,Motor vehicles,Conflict Mineral,Australia MSA| CBAM| Data Breach Vulnerability| EUBR| Water Pollution Supply Chain,,
"ALP INDUSTRIES, INC.",0,human_rights,0.81,0.272,45,0.65231,0.8,0.4717331075697214,0,0.19,278962.0,,150254,52,0,2021-04-27 15:18:48 UTC,2021-04-27 16:03:53 UTC,CHN| MEX| MYS| USA,Industrial Machinery and Equipment Merchant Wholesalers| Steel Wire Drawing,Metal drawing services,,CBAM| CSDDD| Data Breach Vulnerability| Energy Star| EUBR| Water Pollution Supply Chain,,
BLACKLINE,0,human_rights,0.81,0.368,64,0.17059,1.0,0.5651032220104137,6,0.2992000000000001,297601.0,,151583,52,0,2021-04-27 15:20:20 UTC,2021-04-27 16:06:15 UTC,USA,All Other Business Support Services| Electronics Stores| Software Publishers,Electrical System Services| Paint brushes| Software,Conflict Mineral,Data Breach High Incident| Data Breach Vulnerability| Political Risk Liability| Water Quantity Supply Chain,Code of Conduct| Modern Slavery Statement,
CAST PRODUCTS INC,0,human_rights,0.81,0.324,45,0.34446,0.93555,0.6391070085853783,0,0.1611111111111111,336985.0,,152244,52,0,2021-04-27 15:21:11 UTC,2021-04-27 16:07:24 UTC,KOR| USA,All Other Miscellaneous Manufacturing| Other Nonferrous Metal Foundries (except Die-Casting),Metal and mineral industries,,Conflict Mineral| CSDDD| Energy Star| UK MSA,,
GREAT LAKES RUBBER & SUPPLY,0,human_rights,0.81,0.252,43,0.17059,1.0,0.19524333333333335,0,0.3175,348066.0,,151656,52,0,2021-04-27 15:20:26 UTC,2021-04-27 16:06:22 UTC,USA,Hardware Merchant Wholesalers| Plastics Material and Resin Manufacturing,Hardware,,CBAM| Data Breach Vulnerability| Energy Star| EUBR| PFAS| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,
"MSC INDUSTRIAL DIRECT CO., INC.",0,human_rights,0.81,0.29200000000000004,62,0.17059,0.8,0.532268437236818,3,0.547413793103448,376390.0,,151847,52,0,2021-04-27 15:20:39 UTC,2021-04-27 16:06:42 UTC,TWN| USA,Abrasive Product Manufacturing| Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance| Hardware Stores| Industrial Supplies Merchant Wholesalers,Industrial machinery components and accessories,Conflict Mineral,CBAM| CSDDD| Data Breach High Incident| Data Breach Vulnerability| Energy Star| EUBR,,
CONTINENTAL AUTOMOTIVE SYSTEMS_OSH,0,human_rights,0.81,0.21600000000000003,56,0.65231,1.0,,0,,402077.0,,152195,52,0,2021-04-27 15:21:07 UTC,2021-04-27 16:07:19 UTC,CHN| COL| HUN| IND| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| General Warehousing and Storage",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UK MSA| Water Pollution Supply Chain,,
"KINETEK, INC.",0,human_rights,0.81,0.22,36,0.65231,1.0,,0,,413036.0,,150163,52,0,2021-04-27 15:18:42 UTC,2021-04-27 16:03:43 UTC,CHN| COL| HUN| JPN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Motor and Generator Manufacturing| Relay and Industrial Control Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
RUSSEL METALS,0,human_rights,0.81,0.276,62,0.47488,0.6543,0.317426062223349,0,0.4096969696969697,454206.0,,150748,52,0,2021-04-27 15:19:22 UTC,2021-04-27 16:04:46 UTC,CAN| THA,Fabricated Structural Metal Manufacturing,Structural building products,Deforestation,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
"EF & S, INC",0,human_rights,0.81,0.20800000000000002,36,0.65231,1.0,,0,,716452.0,,150713,52,0,2021-04-27 15:19:20 UTC,2021-04-27 16:04:43 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Residential Electric Lighting Fixture Manufacturing",,,Canada MSA| CBAM| Conflict Mineral| CSRD| Data Breach Vulnerability| Dutch CLDD| EUBR| EUFLR| LKSG| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
"VIKING ELECTRIC SUPPLY, INC",0,human_rights,0.81,0.22400000000000003,56,0.65231,1.0,,0,,899220.0,,152095,52,0,2021-04-27 15:20:59 UTC,2021-04-27 16:07:08 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
VALENCE TECHNOLOGY INC,0,human_rights,0.81,0.22400000000000003,36,0.65231,1.0,,0,,949980.0,,150021,52,0,2021-04-27 15:18:33 UTC,2021-04-27 16:03:28 UTC,CHN| COL| GBR| HKG| HUN| PHL| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Primary Battery Manufacturing| Storage Battery Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
"KPS CAPITAL PARTNERS, LP",0,human_rights,0.81,0.20800000000000002,36,0.65231,1.0,,0,,1422403.0,,150022,52,0,2021-04-27 15:18:33 UTC,2021-04-27 16:03:28 UTC,CHN| COL| GBR| HKG| HUN| PHL| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Primary Battery Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
BAKER MANUFACTURING COMPANY,0,human_rights,0.81,0.264,64,0.17059,0.65784,0.6391070085853783,0,0.26,1841215.0,,151179,52,0,2021-04-27 15:19:51 UTC,2021-04-27 16:05:32 UTC,USA,Credit Unions| Iron Foundries,Metal and mineral industries,,CSDDD| Energy Star| Political Risk Liability,,Export Restrictions| Import Restrictions| Severe Tariff Measures| Tariff Escalation| Tariff Quota| Tariff Volatility| Trade Barriers
I FH GROUP,0,human_rights,0.81,0.256,46,0.65231,0.89105,1.0,3,,4040748.0,,151091,52,0,2021-04-27 15:19:45 UTC,2021-04-27 16:05:23 UTC,CHN| USA,All Other Miscellaneous General Purpose Machinery Manufacturing| Commercial and Industrial Machinery and Equipment (Except Automotive and Electronic) Repair and Maintenance| Other Metal Container Manufacturing,Manufacture of machinery,,CSDDD| Data Breach High Incident| Data Breach Vulnerability| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Supply Chain,,
UNLIMITED SERVICES-WISCONSIN,0,human_rights,0.81,0.228,56,0.65231,1.0,,0,,15292906.0,,150684,52,0,2021-04-27 15:19:18 UTC,2021-04-27 16:04:40 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR,,
C E NIEHOFF & CO,0,human_rights,0.81,0.21200000000000002,36,0.65231,1.0,,0,,19891524.0,,151002,52,0,2021-04-27 15:19:39 UTC,2021-04-27 16:05:13 UTC,CHN| COL| HUN| JPN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Motor and Generator Manufacturing",,,CBAM| Conflict Mineral| Data Breach Vulnerability| EUBR| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
"JIANGSU VIBO HYDRAULICS JOINT STOCK CO., LTD.",10395253,human_rights,0.81,0.064,1,0.65231,,,0,,,,633444,52,0,2023-07-13 09:47:07 UTC,2023-07-13 09:47:07 UTC,CHN,,,,,,Export to Sanctioned Entity| Related to Sanctioned
Altra Industrial Motion Corp.,117258492,human_rights,0.81,0.10800000000000001,4,0.17059,,,0,0.25632352941176495,,,633504,52,0,2023-07-13 09:47:18 UTC,2023-07-13 09:47:18 UTC,USA,,,,,,Owned by State Owned Enterprise| Owner of Entity Subject to Regulatory Action
"SUZHOU HRS Technology Co., Ltd",13,human_rights,0.81,0.05600000000000001,1,0.65231,,,0,,,,633554,52,0,2023-07-13 09:47:27 UTC,2023-07-13 09:47:27 UTC,CHN,,,,,,
"Atco Products, Inc.",144664658,human_rights,0.81,0.18400000000000002,11,0.17059,0.64894,,0,0.48,,,633595,52,0,2023-07-13 09:47:35 UTC,2023-07-13 09:47:35 UTC,USA,Rolled Steel Shape Manufacturing,,,CSDDD| Energy Star,,
BLACKWOOD ENGINEERING LIMITED,216386987,human_rights,0.81,0.15200000000000002,12,0.1076,0.65784,,0,0.46956521739130436,,,633751,52,0,2023-07-13 09:48:07 UTC,2023-07-13 09:48:07 UTC,BEL,Iron Foundries,,,CSDDD| Energy Star,,
TRUX ACCESSORIES,22,human_rights,0.81,0.05600000000000001,2,0.0964,,,0,0.5075,,,124180,52,0,2021-04-20 20:22:05 UTC,2023-07-13 09:48:09 UTC,CAN,,,,,,
"Shenzhen Discover Import&Export CO.,Ltd",3,human_rights,0.81,0.052000000000000005,1,0.65231,,,0,,,,633842,52,0,2023-07-13 09:48:26 UTC,2023-07-13 09:48:26 UTC,CHN,,,,,,
"JIANGSU YAOKUN HYDRAULIC CO.,LTD",4,human_rights,0.81,0.06,1,0.65231,,,0,,,,633939,52,0,2023-07-13 09:48:46 UTC,2023-07-13 09:48:46 UTC,CHN,,,,,,
Danfoss (Shanghai) Investment Co.Ltd,420543266,human_rights,0.81,0.06,1,0.65231,,,0,,,,633987,52,0,2023-07-13 09:48:55 UTC,2023-07-13 09:48:55 UTC,CHN,,,,,,
Dupont,4337,human_rights,0.81,0.10800000000000001,4,0.17059,,,0,0.23095652173913037,,,649930,52,0,2024-01-23 03:56:19 UTC,2024-09-09 18:26:24 UTC,USA,,,,,,
"ZHENJIANG DALI HYDRAULIC MOTOR CO., LTD",4501,human_rights,0.81,0.068,1,0.65231,,,0,,,,634083,52,0,2023-07-13 09:49:13 UTC,2023-07-13 09:49:13 UTC,CHN,,,,,,
Metro steel & Pipe supply inc,4691,human_rights,0.81,0.12,9,0.17059,0.73507,,25,,,,665212,52,0,2024-09-09 18:23:18 UTC,2024-09-09 18:23:18 UTC,USA,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
"IGUS (SHANGHAI) MOTION PLASTICS CO., LTD",4791,human_rights,0.81,0.064,1,0.65231,,,0,,,,634147,52,0,2023-07-13 09:49:26 UTC,2023-07-13 09:49:26 UTC,CHN,,,,,,
THE NASON COMPANY,49273626,human_rights,0.81,0.21600000000000003,36,0.65231,1.0,,3,,224199.0,,150307,52,0,2021-04-27 15:18:51 UTC,2021-04-27 16:03:58 UTC,CHN| COL| HUN| USA,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers| Other Electronic Component Manufacturing| Other Measuring and Controlling Device Manufacturing",,,Australia MSA| Canada MSA| CBAM| Conflict Mineral| CSRD| Data Breach Vulnerability| Dutch CLDD| EUBR| EUFLR| LKSG| UFLPA| UK MSA| Water Pollution Supply Chain| Water Quantity Supply Chain| WEEE,,
PARAMOUNT PLASTICS INC,51856052,human_rights,0.81,0.29200000000000004,65,0.17059,0.92093,0.8506751939609987,0,0.1475,488503.0,,152160,52,0,2021-04-27 15:21:04 UTC,2021-04-27 16:07:15 UTC,USA,Boat Building| Plastics Material and Resin Manufacturing,Fishing ship or boat building services,,CBAM| Energy Star| EUBR| PFAS| Water Pollution Direct| Water Pollution Supply Chain| Water Quantity Direct| Water Quantity Supply Chain,,
Sears Manufacturing Co.,5263801,human_rights,0.81,0.10800000000000001,2,0.17059,,,0,0.46214285714285697,,,634265,52,0,2023-07-13 09:49:49 UTC,2023-07-13 09:49:49 UTC,USA,,,,,,
"Tianjin Huigao Century Trade Co., Ltd.",529415860,human_rights,0.81,0.05600000000000001,1,0.65231,,,0,,,,634287,52,0,2023-07-13 09:49:52 UTC,2023-07-13 09:49:52 UTC,CHN,,,,,,
"Johnson Welded Products, Inc.",54025895,human_rights,0.81,0.11200000000000002,35,0.17059,0.9,,0,0.085,,,537956,52,0,2023-01-06 20:20:15 UTC,2023-01-06 20:20:15 UTC,USA,Motor Vehicle Brake System Manufacturing,,,CBAM| Conflict Mineral| EUBR,,
"Tianjin Xishengde Technology Co.,Ltd.",540338131,human_rights,0.81,0.05600000000000001,1,0.65231,,,0,,,,634324,52,0,2023-07-13 09:49:59 UTC,2023-07-13 09:49:59 UTC,CHN,,,,,,
Jackson Manufactory Dongguan Limited,546414173,human_rights,0.81,0.06,1,0.65231,,,0,,,,634355,52,0,2023-07-13 09:50:05 UTC,2023-07-13 09:50:05 UTC,CHN,,,,,,
"ROADBOY AUTO PARTS CO., LTD.",547626908,human_rights,0.81,0.064,1,0.65231,,,0,,,,634361,52,0,2023-07-13 09:50:06 UTC,2023-07-13 09:50:06 UTC,CHN| TWN,,,,,,
TOYOTA LIFT OF SOUTH TEXAS,5479,human_rights,0.81,0.016,0,0.17059,,,25,,,,665230,52,0,2024-09-09 18:23:37 UTC,2024-09-09 18:23:37 UTC,USA,,,,,,
"Qingdao Blackstone Tire assembly CO., LTD.",554426462,human_rights,0.81,0.068,1,0.65231,,,0,,,,634387,52,0,2023-07-13 09:50:11 UTC,2023-07-13 09:50:11 UTC,CHN,,,,,,
Fritsch Equipment Corp,5546,human_rights,0.81,0.10800000000000001,2,0.17059,,,0,0.42333333333333334,,,634390,52,0,2023-07-13 09:50:11 UTC,2023-07-13 09:50:11 UTC,USA,,,,,,
"Tianjin Zhongtaiyi Technology Co.,Ltd.",560447733,human_rights,0.81,0.052000000000000005,1,0.65231,,,0,,,,634405,52,0,2023-07-13 09:50:14 UTC,2023-07-13 09:50:14 UTC,CHN,,,,,,
"Kapco, Inc.",59978957,human_rights,0.81,0.172,14,0.17059,0.73507,,0,0.21472222222222218,,,634459,52,0,2023-07-13 09:50:25 UTC,2023-07-13 09:50:25 UTC,USA,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
"Bucher Hydraulics, Inc.",6020465,human_rights,0.81,0.168,12,0.17059,0.63311,,0,0.43932692307692334,,,634464,52,0,2023-07-13 09:50:26 UTC,2023-07-13 09:50:26 UTC,USA,Fluid Power Valve and Hose Fitting Manufacturing,,,CSDDD| Water Pollution Direct| Water Pollution Supply Chain,,
"American Technology Components, Incorporated",615055035,human_rights,0.81,0.10800000000000001,1,0.17059,,,0,0.3157142857142857,,,634546,52,0,2023-07-13 09:50:42 UTC,2023-07-13 09:50:42 UTC,USA,,,,,,
Perkins Manufacturing Co.,67457176,human_rights,0.81,0.10800000000000001,1,0.17059,,,0,0.49,,,634650,52,0,2023-07-13 09:51:03 UTC,2023-07-13 09:51:03 UTC,USA,,,,,,
"TIANJIN GALAXY PRINTING CO.,LTD",7,human_rights,0.81,0.068,1,0.65231,,,0,,,,634681,52,0,2023-07-13 09:51:09 UTC,2023-07-13 09:51:09 UTC,CHN,,,,,,
